epoch,lr-AdamW,remote_inlier@1,remote_inlier@10,remote_inlier@3,remote_inlier@5,remote_mean_error,remote_mean_matches,remote_median_error,remote_num_matches,remote_num_pairs,remote_pair_inlier@1,remote_pair_inlier@10,remote_pair_inlier@3,remote_pair_inlier@5,remote_pitch_inlier@5,remote_pitch_median_error,remote_pitch_num_pairs,remote_roll_inlier@5,remote_roll_median_error,remote_roll_num_pairs,remote_scale_inlier@5,remote_scale_median_error,remote_scale_num_pairs,remote_translation_inlier@5,remote_translation_median_error,remote_translation_num_pairs,remote_yaw_inlier@5,remote_yaw_median_error,remote_yaw_num_pairs,step,train/forward_time_epoch,train/forward_time_step,train/loss_c_epoch,train/loss_c_step,train/loss_epoch,train/loss_f_epoch,train/loss_f_step,train/loss_rf_epoch,train/loss_rf_step,train/loss_step,train/num_matches_epoch,train/num_matches_step
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205749,,0.09290137887001038,,0.007297320757061243,,,0.06290014088153839,,0.0018326588906347752,0.05945008993148804,,6144.0
,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205799,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205799,,0.0937640368938446,,0.003627546364441514,,,0.06878510117530823,,0.0008638659492135048,0.05951949954032898,,6144.0
,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205849,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205849,,0.0928436666727066,,0.0032501411624252796,,,0.06868191063404083,,0.0010562038514763117,0.059251874685287476,,6144.0
,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205899,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205899,,0.09300875663757324,,0.004337296821177006,,,0.05908092111349106,,0.001107684918679297,0.05270972102880478,,6144.0
,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205949,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205949,,0.09255014359951019,,0.004085519816726446,,,0.06726036965847015,,0.0009022903395816684,0.058796100318431854,,6144.0
,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205999,,,,,,,,,,,,
