epoch,lr-AdamW,remote_inlier@1,remote_inlier@10,remote_inlier@3,remote_inlier@5,remote_mean_error,remote_mean_matches,remote_median_error,remote_mixed_inlier@5,remote_mixed_median_error,remote_mixed_num_pairs,remote_num_matches,remote_num_pairs,remote_pair_inlier@1,remote_pair_inlier@10,remote_pair_inlier@3,remote_pair_inlier@5,step,train/forward_time_epoch,train/forward_time_step,train/loss_c_epoch,train/loss_c_step,train/loss_epoch,train/loss_f_epoch,train/loss_f_step,train/loss_rf_epoch,train/loss_rf_step,train/loss_step,train/num_matches_epoch,train/num_matches_step
46,,,,,,,,,,,,,,,,,,58649,,0.09008115530014038,,2.8027994632720947,,,2.0609257221221924,,0.50737065076828,4.9589104652404785,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,58699,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,58699,,0.09049580991268158,,2.797010660171509,,,2.060119390487671,,0.5052201747894287,4.950325965881348,,6144.0
46,,0.0,0.00862529594451189,7.633004861418158e-05,0.0014502709964290261,80.54222869873047,7.464957237243652,73.45832061767578,0.0014502709964290261,73.45832061767578,1755.0,13101.0,1755.0,0.0,0.004939496051520109,2.2792022718931548e-05,0.0008088933536782861,58702,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,58702,0.09463916718959808,,2.7506165504455566,,4.901271820068359,2.060901641845703,,0.5019328594207764,,,6144.0,
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,58749,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,58749,,0.09021174907684326,,2.9460883140563965,,,2.061526298522949,,0.4841698110103607,5.079479217529297,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,58799,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,58799,,0.08986828476190567,,3.1540324687957764,,,2.0604283809661865,,0.5007836818695068,5.303158760070801,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,58849,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,58849,,0.09108694642782211,,2.788316011428833,,,2.063323497772217,,0.4958835244178772,4.934858322143555,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,58899,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,58899,,0.08997680246829987,,3.0101006031036377,,,2.0619678497314453,,0.48533767461776733,5.145012378692627,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,58949,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,58949,,0.09092725813388824,,2.6085169315338135,,,2.0612804889678955,,0.5050263404846191,4.762567520141602,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,58999,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,58999,,0.09003622084856033,,2.7424373626708984,,,2.0597097873687744,,0.5089260339736938,4.8991312980651855,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,59049,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,59049,,0.09024620801210403,,2.613569974899292,,,2.061776876449585,,0.5032880902290344,4.766279697418213,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,59099,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,59099,,0.09221801906824112,,2.7581098079681396,,,2.0609655380249023,,0.5095977187156677,4.91648006439209,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,59149,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,59149,,0.09045606106519699,,2.668473958969116,,,2.060783624649048,,0.5041531324386597,4.821254253387451,,6144.0
